Country,Internet use,Anxiety Rate
Afghanistan,17.6,5.03
Albania,68.55,4.1
Algeria,57.9,5.05
Angola,32.4,4.01
Argentina,79.9,5.36
Armenia,66.544,3.37
Australia,88.6,6.41
Austria,87.752,6.58
Azerbaijan,81.1,2.64
Bahamas,85,4.56
Bahrain,99.701,5.15
Bangladesh,23.8,3.27
Belarus,82.789,3.76
Belgium,90.275,5.55
Belize,50.8,4.37
Benin,22.4,3.29
Bhutan,53.5,3.38
Bolivia,47.475,5.99
Bosnia and Herzegovina,69.946,3.78
Botswana,61,3.72
Brazil,73.912,7.77
Brunei,95,3.09
Bulgaria,67.947,3.64
Burkina Faso,18,3.15
Burundi,6.2,3.71
Cameroon,33.5,3.28
Canada,96.5,4.77
Cape Verde,61.943,3.23
Central African Republic,8.3,4.45
Chad,9.8,3.43
Chile,86.1,5.92
China,64.11,3.39
Colombia,65.007,4.98
Costa Rica,81.203,4.47
Cote d'Ivoire,36.289,3.3
Croatia,79.08,3.87
Cuba,67.971,4.49
Cyprus,86.064,7.01
Czechia,80.867,3.4
Democratic Republic of Congo,12.5,3.85
Denmark,98.046,5.39
Djibouti,59,3.39
Dominican Republic,75.8,4.71
Ecuador,61.6,5.51
Egypt,57.283,4.81
El Salvador,50.491,4.65
Estonia,90.229,3.65
Ethiopia,22,3.54
Finland,89.607,4.39
France,83.34,6.91
Gabon,61,4.06
Gambia,34.5,3.41
Georgia,68.847,2.66
Germany,88.135,6.81
Ghana,53,3.07
Greece,75.671,6.31
Grenada,56,4.48
Guatemala,44.401,4.46
Guinea,23,3.39
Guinea-Bissau,19.4,3.15
Haiti,33.3,4.74
Honduras,39.388,4.27
Hungary,80.372,3.67
Iceland,99,5.6
India,29.4,3.04
Indonesia,47.691,3.7
Iran,77.771,7.62
Iraq,60,5.6
Ireland,87,7.62
Israel,86.788,4.05
Italy,76.1,5.98
Japan,92.73,2.54
Kazakhstan,81.878,2.26
Kenya,22.565,3.52
Kiribati,36.9,4.22
Kuwait,99.543,4.92
Kyrgyzstan,51,2.18
Laos,30.84,4.75
Latvia,86.135,4.05
Lebanon,80.9,6.42
Lesotho,42.302,3.7
Liberia,22,3.55
Lithuania,81.582,4.58
Luxembourg,97.121,5.81
Malawi,9.9,3.96
Malaysia,84.187,4.88
Maldives,62.5,3.74
Mali,24.2,2.77
Malta,85.779,6.87
Mauritania,36.7,2.82
Mauritius,61.73,3.96
Mexico,70.07,3.74
Mongolia,51.08,2.27
Montenegro,73.477,3.93
Morocco,74.376,5.03
Mozambique,15.1,4.11
Myanmar,34.9,4.09
Namibia,40.5,3.61
Nepal,32.8,3.39
Netherlands,93.289,7.45
New Zealand,90.2,8.04
Nicaragua,37.8,4.63
Nigeria,33.6,3.03
North Macedonia,81.413,3.85
Norway,98,7.3
Oman,90.3,4.8
Pakistan,17.071,3.61
Palestine,70.623,5.85
Panama,63.628,3.88
Paraguay,68.518,6.65
Peru,59.951,5.84
Philippines,43.027,4.75
Poland,80.436,3.35
Portugal,75.346,8.79
Puerto Rico,77.736,4.69
Qatar,99.653,4.54
Romania,73.657,3.51
Russia,82.642,3.38
Rwanda,26,3.77
Saint Lucia,50.7,4.51
Sao Tome and Principe,32,3.19
Saudi Arabia,95.725,4.77
Senegal,39.5,2.95
Serbia,77.417,3.57
Seychelles,75,3.94
Sierra Leone,16.8,3.72
Singapore,88.949,2.97
Slovakia,82.854,3.68
Slovenia,83.108,3.66
South Africa,68.2,3.92
South Korea,96.158,3.49
South Sudan,5.6,5.08
Spain,90.719,5.36
Sri Lanka,29,4.25
Sudan,25.9,4.94
Suriname,68.75,4.32
Sweden,94.493,5.21
Switzerland,93.146,7.49
Syria,34.65,5.91
Tanzania,20,3.91
Thailand,66.652,3.57
Timor,29,3.91
Togo,19.3,3.66
Tunisia,66.7,5.47
Turkey,73.977,4.76
Uganda,14.7,4.15
Ukraine,70.125,3.38
United Arab Emirates,99.15,4.46
United Kingdom,92.517,4.9
United States,89.43,6.16
Uruguay,83.352,5.58
Uzbekistan,70.4,2.14
Vietnam,68.662,2.39
World,54.013,3.94
Zambia,16.8,4.05
Zimbabwe,25.1,3.28