Country,Internet use,Anxiety Disorders
Belgium,97.73,14.73
Bulgaria,91.63,8.49
Czechia,98.27,7.98
Denmark,99.13,14.24
Germany,99.37,17.2
Estonia,99.49,9.03
Ireland,99.74,20.49
Greece,98.82,16.6
Spain,99.12,14.13
France,96.59,17.87
Croatia,99.21,9.02
Italy,91.97,15.61
Cyprus,100,18.3
Latvia,99.77,9.85
Lithuania,98.57,11.07
Luxembourg,98.98,15.3
Hungary,98.33,8.56
Malta,99.44,18.02
Netherlands,98.61,19.1
Austria,99.21,17.74
Poland,99.56,7.82
Portugal,99.47,22.48
Romania,95.06,8.27
Slovenia,99.24,8.6
Slovakia,99.34,8.59
Finland,100,11.84
Sweden,100,13.92
Iceland,100,14.85
Norway,99.37,19.04
Switzerland,100,19.76
United Kingdom,100,12.79
Montenegro,98.68,9.12
North Macedonia,99.11,9.04
Albania,94.12,9.54
Serbia,97.38,8.37
Turkey,90.76,13.27
Bosnia and Herzegovina,97.9,8.84